//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 44630000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
44630000;1;01/01/2006;;1;1;22,345;2,7277;9,381;1;31;0;0;1;;0;22,345;22,345;22,345;21,3208;18,4944;13,3971;16,6689;17,4779;18,9665;16,4037;13,2395;10,0551;7,7385;6,7137;5,6153;5,3205;4,2252;4,2682;4,0977;4,0138;3,7677;3,6875;3,5689;3,414;3,3002;3,2255;3,1885;3,0788;2,9356;2,8654;2,7277;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
44630000;1;01/02/2006;;1;1;3,1517;2,3992;2,563;28;14;0;0;1;;0;2,7277;2,6268;2,5606;2,5279;2,5279;2,5279;2,5279;2,5279;2,5279;2,4631;2,4631;2,4631;2,4631;2,3992;2,3992;2,3992;2,3992;2,4631;2,4954;2,4954;2,5606;2,5936;2,5936;2,5936;2,6602;2,7618;2,9004;3,1151;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
44630000;1;01/03/2006;;1;1;127;2,7277;43,0053;18;3;2;2;2;;0;4,3548;4,1825;4,2682;8,4647;8,9681;9,0321;10,9938;16,8469;16,4919;17,206;17,206;17,2964;18,9665;21,8297;74;81,2;115;127;124;121;63;61;59;55;57;57;55;49,8;19,8072;18,1406;20,1095;;;;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;
44630000;1;01/04/2006;;1;1;53;11,5702;25,3377;14;30;0;0;1;;0;20,2108;20,3124;20,8245;20,9278;21,8695;22,8;22,8;22,8;22,2952;20,4143;20,4143;22,8;24,24;52,2;45;42,9;42,2;40,8;34,8;31,6;30;20,4143;18,2365;18,5257;18,3326;18,0451;17,6655;17,4773;16,1008;13,1245;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
44630000;1;01/05/2006;;1;1;9,9819;3,1455;4,944;1;31;2;2;2;;0;9,9819;9,3017;7,0083;6,6693;6,1242;6,1776;6,0711;6,0711;6,0711;6,0711;4,9653;4,9179;4,8707;4,8707;4,8707;4,7771;4,2359;4,0633;4,1491;3,9784;3,9784;3,9784;3,5686;3,5289;3,4895;3,3342;3,258;3,258;3,258;3,2203;3,1455;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;
44630000;1;01/06/2006;;1;1;3,0351;1,8742;2,398;1;28;0;0;1;;0;3,0351;2,8911;2,8911;2,751;2,7166;2,6823;2,6146;2,5478;2,482;2,482;2,482;2,4494;2,417;2,417;2,353;2,353;2,353;2,3214;2,29;2,29;2,29;2,2588;2,2278;2,1666;2,1666;2,1666;2,1363;1,9595;1,8742;1,8742;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
44630000;1;01/07/2006;;1;1;1,8742;1,3574;1,7222;1;31;0;0;1;;0;1,8742;1,8742;1,8742;1,8742;1,8742;1,8185;1,7909;1,7636;1,7636;1,7636;1,7909;1,7636;1,7636;1,7097;1,7097;1,7097;1,7097;1,7097;1,7097;1,7097;1,7097;1,7097;1,7097;1,6567;1,6567;1,6567;1,6567;1,6567;1,6567;1,3811;1,3811;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
44630000;1;01/08/2006;;1;1;1,3574;1,3574;1,3574;1;1;0;0;1;;0;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44630000;1;01/09/2006;;1;1;8,906;1,3574;3,2499;25;1;0;0;1;;0;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3574;1,3811;1,3811;1,405;1,405;1,405;1,4292;1,4536;1,8462;8,456;8,6473;8,906;8,8409;8,7761;8,2045;7,7743;7,1813;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
44630000;1;01/10/2006;;1;1;8,5195;0,1278;3,1331;20;10;0;0;1;;0;6,1242;5,7576;5,3535;3,1455;2,8206;2,482;2,1666;1,7636;0,2256;0,1727;0,2871;0,321;0,2553;0,2553;0,321;1,0849;2,1666;5,9132;6,2851;7,4154;6,3936;5,7576;5,0609;4,0207;3,5289;2,8558;3,2203;3,258;3,0716;2,8206;2,8206;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
